Name,Rating,Review Title,Review Date,Review Content
PJM,1.0 out of 5 stars,Absolute piece of junk!,Reviewed in the United Kingdom on 4 February 2020,"I've had a kindle for many years they are great. I bought this new one last year simply because I cracked the screen on my old one.The new one is a 10 gen device, fully touch screen. I've had more trouble in 6 months that I had with my old one in 10 years. What makes it worse us that you try to talk to Amazon and they make it so hard to ""contact us"" and when you eventually do get to talk to someone its the most frustrating of experiences.I'd never buy one of these again, I am resigned to resetting the device as new whenever it fails to start up... which is frequent.Don't buy, its an absolute piece of junk... what a shame."
SARAH BATTEN,5.0 out of 5 stars,It is a Kindle that should be survive a quick dip.,Reviewed in the United Kingdom on 10 June 2020,"Perfect for taking on holiday, on any train/plane journey as can hold more books than you could possibly pack or read.  Light and easy to read and the latest version hopefully waterproof enough to drop in the bath or splash with water, not yet tested.  Good backlight of variable intensity, great range of text size for those who otherwise need reading glasses and plenty of good books available from Amazon ranging from the serious to frivolous and many on offer for £1.00.  Plus books can be shared with family members who also have a kindly."
Julia123,2.0 out of 5 stars,No longer working within 16 months!,Reviewed in the United Kingdom on 11 March 2021,"Such a waste of money. I bought this kindle to replace one that Had been my old faithful. After 16 months of limited use, my kindle won’t charge. Tried re-setting but nothing helps. I’ve been offered a measly 15% discount off my next kindle purchase by Amazon. This is so frustrating. It is such an expensive product.the whisper sync never worked either. Really unhappy at the amount I spent thinking I was getting top of the range! Really not worth it."
FunkyFlag,2.0 out of 5 stars,Waterproof but audio/reading link is very poor,Reviewed in the United Kingdom on 31 May 2019,I love reading in the bath and this is perfect. BUT and a fairly big BUT I am far from impressed with the ‘swap between reading and audio’. I already own a lot of Kindle books so am a good customer. When I bought this I decided to re-read books and swap between reading and listening. Audible books are often cheaper if you have bought the Kindle book. Good in theory but not one has synced without several calls to Amazon and in each case a new version the Kindle book has had to be sent. The last time this happened it took FOUR customer service advisors to sort it. I suspect that it affects British customers more than Americans as our versions the Kindle books do not exactly match the recorded version (which tend a to use American words).It is interesting that this is not even something that they ask you to give stars to in this review. My experiences since buying this device is that Amazon do not care at all about their customers.
D. K.,1.0 out of 5 stars,Kindle for Kids is a disaster,Reviewed in the United Kingdom on 30 November 2019,"Got this as a digital reader for a child and it's a disaster. While the hardware is rather better than of previous editions, the added software especially for children account is, in my opinion, violating the anti-monopoly law of EU, as it only allows child to read books purchased in Kindle store. If you add a book from 3rd party provider, they are imported into your library as ""documents"" rather than ""books"", and so you can't share them with children. Obviously it was done so you would purchase all your books at Amazon, and I foresee a huge fine on Amazon for doing that."
T,4.0 out of 5 stars,First Kindle and I'm loving it!,Reviewed in the United Kingdom on 16 November 2018,"Purchased the new Kindle a few weeks ago and I'm really enjoying it so far. Loving the cheap deals I can get on books and I'm definitely reading more now than I ever had. The size and weight of it are absolutely perfect.  The only reason why I gave it 4 stars is because it's a bit glitchy (which is normal). Otherwise, if you're thinking of buying one, just do it."
CWallis,5.0 out of 5 stars,Greatly helped ability to read because of problems with my vision,Reviewed in the United Kingdom on 3 August 2020,"I use my paperwhite to not only read books but also listen to audio books. I can switch between the two, so say I am listening to an audio book but when I go to bed I dont want to be noisy so I switch to my kindle and it seamlessly switches over.I have a permenent problem with my eyes due to migraine which causes a halo around black text on white backgrounds, but with my kindle I can set it to display white text on a black background which helps a great deal. I can also alter the amount of space in between rows of text and alter the size of text. I cant tell you what a difference this has made to my ability to read, I am so happy.I like to sit in my garden and read and it doesnt matter how sunny it is the text shows up perfectly. I can alter the brightness so that at night when I'm reading in bed I can turn the brightness down so as not to stimulate my brain so I can get to sleep."
Rich McG,5.0 out of 5 stars,A massive step up from 1st gen Paperwhite,Reviewed in the United Kingdom on 16 May 2019,"I thought it was about time to upgrade from my first kindle, a 1st generation Paperwhite from 2012. It's still going strong but looking a bit tired, and I have found myself moving back to paper books. With a holiday coming up, though, I wanted the convenience of a kindle... would the new (2018, 10th gen) Paperwhite be enough of an upgrade?Yes, and then some.While I understand many of the features it boasts that are new to me are not new to kindles in general, I am blown away by how sleek this thing is compared to my stone age gadget. The screen resolution is a thing to behold - no more jagged blocky text, and the freedom to use more delicate fonts (begone, hideous Caecilia).Ah, the fonts. One of the real selling points of this device for me was that Amazon have now made it easy to add custom fonts from a computer. I love this, as I'm not a fan of the standard fonts (Bookerly, which my old kindle didn't have, is rather nice though). As soon as I got it I added 10 serif fonts I liked, to make pages look more like those of an actual book. Even better, you can tweak the boldness to make it look just right.Everything is orders of magnitude more responsive than my old kindle. Navigating the store is no longer a trial. The frontlight is totally even. And I love the bezel being flush to the screen.Any downsides? It's a dust and fingerprint magnet. I still wish it had page turn buttons, but now Amazon force you to buy an Oasis if you want those. A colour e-Ink screen would be great but they're still a ways off.As for battery life... I've had it a month, have read 3 books, and it's still on its first charge, with 42% battery left. Pretty excellent in my book!"
Mavis Cook,4.0 out of 5 stars,Good reader on the go,Reviewed in the United Kingdom on 25 November 2018,"Loved the Kindle, light and easy to drop into the handbag or fit in the back pocket for whenever the opportunity arises  to dip into books on the go.Very disappoint by the audio side of it, where there is no jack for head phones, an important preference to have rather than transmitting audio through paring the Kindle with another device which takes away personalized listening on the go. Still finding my way round it.  I maybe a technophobe, but I would like to know if listening to e-books through headphones can be achieved, and that would Be very useful and practical.The HOME button is supposed to give an option where one can download or view the manual, however that's not the case. It would be useful to have this option at hand to refer to for tips on how to use the Kindle efficiently."
operabuff,5.0 out of 5 stars,Excellent product,Reviewed in the United Kingdom on 8 November 2019,"Over  the years I have bought 4 of these, two of which were for presents with which the recipients were delighted. Unfortunately my first one (which I have used for years) has now gone faulty. I cannot get it working again so have invested in a fourth which is at present working perfectly. I usually enjoy reading in bed at night before sleep for which this is just the job. You can just switch it off when you've had enough and them pick up where you left off. There is a massive collection of books so whatever your interests, fiction or otherwise you, are sure to find lots of them."
Grimian,5.0 out of 5 stars,A happy wife means a happy life,Reviewed in the United Kingdom on 6 September 2019,"Bought for my wife as a surprise before a holiday abroad . She is very happy with it being a lot lighter, brighter and easier to read than her original kindle with built in keyboard which has served her well. The only thing she is missing is the ability to turn the page with  buttons as she could do this with one hand on her old one. Whether the addition of buttons would affect it’s  ability to be waterproof, I do not know, but I guess she will have to learn a new technique!We ordered the kindle with a ‘water safe’ case which compliments the kindle well and has so far withstood some intensive poolside reading without any issues. She’s happy so I highly recommended it!"
Denise,1.0 out of 5 stars,"Don’t bother, it breaks and amazon won’t fix it",Reviewed in the United Kingdom on 29 April 2020,"Bought this kindle and loved it although didn’t use it much due to having a lot of paper books to finish reading. The Kindle hadn’t been switched on in a while, when I did turn it on it wouldn’t load past the picture of a kid under a tree. I contacted amazon who said it was under a month out of warranty but here’s 15% off the next one. The first didn’t even last a year so why would I bother buying a second? Expensive reading for one year, so disappointed and annoyed with the customer service."
Mr. Thomas Houston,5.0 out of 5 stars,Well pleased with my purchase,Reviewed in the United Kingdom on 4 September 2020,"First off, I really did like the buttons on the right hand of my old Kindle.But with a little trepidation I started using my Kindle Paperwhite and much to my delight I have found the touch screen easy to work.Only slight downside was that I purchased the Kindle Cover which unfortunately doesn't have an elastic band across the reverse side, which was goot for holding the Kindle.Possibly my previous cover wasn't a branded cover, and therein lies the difference.Overall, we'll pleased and extremely satisfied with my updated version of an old favorite."
John Law,4.0 out of 5 stars,Good but could be better,Reviewed in the United Kingdom on 9 March 2020,"Easy to use as always, bought this one to replace one I dropped in the bath!!!My main complaint is the positioning of the button to turn the device on; it is very sensitive and is placed just where your little finger rest when reading the device (mine does anyway),. you are constantly turning the device off.  A better place for this start button would be on the side or the top.I have made a slide from an A4  gripper that slides easily across and covers the on/off switch - works very well;. Perhaps I should patent it."
Amazon Customer,5.0 out of 5 stars,Perfect upgrade for long term kindle readers!,Reviewed in the United Kingdom on 10 January 2020,"Upgraded my old kindle (the one with side buttons and no keyboard) to this - love having a backlight so I can read in bed without annoying the boyfriend. Battery life is still great, it came with about 40% charge and I only needed to plug it in about 2 weeks later, having done A LOT of reading over the Christmas period.I do agree that the standby button underneath is a bit stupid. I have accidentally pressed it once so far.Love having a touch screen - I actually use the highlight function now!If you’ve had yours for 8 years too, go for this as an upgrade! I also got given a lovely new case which fits perfectly and is so much nicer than my old tatty peeling leather one I had!!"
Amazon Customer,1.0 out of 5 stars,What year or model is it?,Reviewed in the United Kingdom on 5 September 2020,"I ordered what I thought was the latest model Kindle Paperwhite form Amazon priced £129.99 and also an Omoton case for the 2019 onwards model.  The Paperwhite did not fit into the case. I tried four times to speak to Amazon and each time I was cut off (VERY RUDE). I tried to email them to find out if I had ordered the wrong case and which one to order or had I been sent an old model Paperwhite, but just kept going round in circles! I am now going to send them both back and start again. What a waste of my time and their money on postage costs.If the order is right it is good, if it is wrong you pull your hair out, SHOCKING CUSTOMER SERVICE!"
Mr. M. W. Dorling,5.0 out of 5 stars,Good for reading in low light.,Reviewed in the United Kingdom on 6 September 2019,"Having resisted buying a Kindle for some years (I prefer a weighty tome to yet another device), I've found recently that reading by anything other than daylight or bright electric light (the latter of which I don't like) was becoming more difficult. Furthermore, I recently learned that Kindles do not emit blue light so are less likely to hinder sleep - something which also had concerned me for some years (I have the Kindle app on my phone but wouldn't use it for reading in bed, for that reason). Finally, all my bookshelves are now full, so I decided that maybe it was time to submit and purchase a Kindle. I am very pleased with the Paperwhite that arrived last week (and the cover that arrived at the same time) and would recommend one to anyone who is finding reading in anything less than bright light a problem, or who has run out of space for shelving books but not the wish to read them."
B H SLACK,5.0 out of 5 stars,so easy to use,Reviewed in the United Kingdom on 9 July 2020,"My old Kindle which i have had for many years was acting up, needing to have a ""hard reboot"" twice so I decided to treat myself to a new one and keep the other as back-up (should I forget to charge the new one at some stage). What a difference, no more silly buttons on the side which I used to manage to knock frequently, nice simple touch screen.  I do still have a bit of an issue finding the books that I transferred over, but I think that is me rather than the Kindle.  The back light is brilliant, means I can finally read in bed comfortably. Very pleased with it."
Paula,4.0 out of 5 stars,"Multipurpose e-reader, but poor battery life",Reviewed in the United Kingdom on 30 December 2019,"Love this, especially as you can sync earphones for Audible audiobook listening. It’s my first e-reader with a light, which is great for evening reading. The screen is a little slow to respond to touch. However, I’m very disappointed by the battery life, but this is probably due to not being able to switch it off entirely. I’ve tried putting it in airplane mode and powering it down, but that doesn’t help. My old Kobo e-reader could be left switched off for a month and the battery percentage would still hold. It’s something I’ve just got to get used to."
Amazon Customer,3.0 out of 5 stars,Kindle paperwhite the flaws,Reviewed in the United Kingdom on 31 May 2020,"This is my third kindle, and my second paperwhite. I love the backlight. The new o/s is a bit over the top on trying to upsell.The main gripe though is the position and operation of the on/off button. It is all too easy to touch this while holding kindle. I would prefer that you have to slide power off, as to accidentally do this would be almost impossible.Expensive for what it is, the battery is good, I would not buy another just to get better on/off button. if you read as often as I do this issue does come up a lot."
Mr Pricklepin,5.0 out of 5 stars,This is the Kindle to buy!,Reviewed in the United Kingdom on 16 April 2019,"This 8Gb model is the one I should have bought for myself, instead of the 32Gb version. It's the same apart from the storage, and the price! You can store thousands of books on 8Gb and if you're an Audible user hundreds of audio files as well. As everything is backed up on Amazon's Servers, why would you want to scroll through thousands of books on your device? OK if you're going on holiday where there's no WiFi or internet, but for every day use?This version has the smallest storage space for this model. It is more than adequate for your day to day reading needs. My older 4Gb Kindle never ran out of space and I have hundreds of documents and books stored on it. The only reason I upgraded was that the screen was better."
Lee W,5.0 out of 5 stars,The best gadget I never knew I needed!,Reviewed in the United Kingdom on 1 June 2019,"Firstly let me start by saying I have never been one for reading very much. I was hesitant on getting a kindle but as I prefer reading either at night or when I'm outside, the screen on the kindle paperwhite seemed the best option. I was not let down! the screen is brilliant, with varying brightnesses and zero issues with reading in direct sunlight.It can be slightly awkward to hold, I bought a flip case with mine which does make it easier, It's more like holding a book this way but with less weight.The User Interface and the system as a whole are not fantastic. It can be pretty slow at times and does not respond to light touch, you definitely have to be precise and patient with it.Overall, 100% worth it! I now use it every day and can often be found in a quiet corner somewhere reading a book now!"
linda dunstan,4.0 out of 5 stars,teething problems,Reviewed in the United Kingdom on 5 March 2019,I have an original Kindle which is working ok but I decided a back light would be beneficial. I was bought this for Christmas but am not finding it easy to use.Several issues with customer service including them hanging up on me.All my books were added to my new kindle however all the ones I had read were mixed with the ones I hadn't and the only way of sorting this is out is to do it manually which with around 400 books is going to take some time.The back light is great and the cover I bought enables the Kindle to turn on when I open the cover which is a nice feature. Hopefully I will get used  to my new Kindle and love it like my old one at present I am a little disappointed
Kindle Customer,5.0 out of 5 stars,Does the job very well,Reviewed in the United Kingdom on 10 June 2020,"Very pleased with this. Designed for reading and does the job very well. I particularly like how you can adjust the font and font size to make reading even easier. Feels comfortable in your hand and not too heavy. You can even read in strong sunshine without glare. For me, the battery lasts about two weeks but keeping it on aeroplane mode extends it further. Sometimes when reading my finger accidentally presses the lock button but I found adding a cover helps, I bought the yellow fabric cover which looks great!"
David F,3.0 out of 5 stars,Way overpriced.,Reviewed in the United Kingdom on 19 April 2019,"Luckily I had a gift voucher for £50, and got this in the 'sale', so, it cost me £49.99, which I think is a fair price, no way would I have bought it at £119 or even £100. The item is fine. Amazon are just so greedy, hence the low score. And the battery life is an out and out lie, I have my light on 11, read for perhaps half an hour a night, turn it off completely and the battery loses 10 to 15% .Oh and the 'special offers. Wi fi is off so I only see the one thing."
Amazon Customer,1.0 out of 5 stars,I hate it.,Reviewed in the United Kingdom on 8 June 2019,"It just makes me angry. I'm not throwing it to the bin just because it's a pressent from somebody I really appreciate. It's difficult to manage. Most options takes you to the amazon books shop, instead of to the library. It seems that is been designed to sell books instead of to read them. The screen is too small and the book pages don't addapt properly to the screen. If you make zoom you'll find you need to be moving the screen from side to side to be able to read each line. I'm really disappointed with it and I don't use it because it frustrates me. I regreat I didn't ask for a refound when I just got it instead of keeping it for sentimental reasons."
Steve,2.0 out of 5 stars,Very disappointing,Reviewed in the United Kingdom on 25 December 2019,"For something that's not particularly cheap either at £100, this Paperwhite kindle is a big disappointment.The software runs very clunky in how it responds to commands and touch when swiping to move the home screen or when reading a book in how the pages turn.So seeing how this was an early christmas present for my partner, I have to say, I would not recommend buying this version of a kindle, as a friend of mine has the older version and it's a lot better in every way.My subjective opinion of this gift is...Very Disappointing!!"
AJ Fernandez,2.0 out of 5 stars,I prefer the old one,Reviewed in the United Kingdom on 28 May 2019,"I don't normally write reviews but I am quite annoyed with this kindle so I'm doing it.On the positive side the screen is much better, actually now that I need glasses to read I can see better with this screen.Apart from that I prefer the old one I don't thing Amazon improved the Kindle apart from the screen.The battery runs out very quickly and doesn't even tell you is running low, it just doesn't turn off whereas in the old one the device tells you the battery is low and you can still read for a couple of days after the message if you forget to charge it.In the old one you had to slide the button to turn it on, the new one it just pressing a button and it turns on in bag all the time.Finding my books is a nightmare and the touch screen is hideous as the screen is small and it's difficult to get what you want in some cases when you touch it.And something that's not improved is the time no need to hold the button to turn off the screen.Please next time improve it but without loosing the good features."
Memphis,5.0 out of 5 stars,"Wonderful, my favourite gadget.",Reviewed in the United Kingdom on 24 January 2019,"I bought this to replace my old kindle which I had dropped, and cracked the screen. I'm still not sure what the 'special features' are, but it is a wonderful little gadget if you read/listen to as many books as I do. Having arthritis in my wrists means I cannot hold a paperback for long, so propping this up on a flat surface means I can read to my heart's content. The only slightly off-putting feature is that it tells me how many other people have highlighted certain passages in whatever book I am reading. This irritates me; why should I need to know who else has highlighted what?  The audible function is easy to use and fantastic to have. I use it every day. And the 3-installment payment plan made it affordable."
Maidmarion,5.0 out of 5 stars,Worth taking the plunge,Reviewed in the United Kingdom on 8 October 2019,"Husband bought me another brand e-reader some years ago and I never took to it. Thought I liked to hold a ""real"" book, so was wary of taking the plunge into another e-reader. How glad I am that I did!Just the right size to hold comfortably; great if you're travelling to carry multiple books and keep the weight down; can still read it in a dim room or in sunlight; don't have to worry about bookshelf space anymore; no more trips to the library; great selection of free books with Amazon Prime reading. The icing on the cake was a good deal on the price on Amazon deal day (or whatever it's called). Really glad I made the purchase."
F. Gamble,5.0 out of 5 stars,As always terrific,Reviewed in the United Kingdom on 28 January 2020,"This is my 6th Kindle (Yes I keep leaving them on airplanes and the like!) So easy to download all the existing content. Especially when you link it at the time of purchase. I purchaed through Amazon, so I don't know how easy that woudl be if you bought it in a shop.  Unlike my previous ones thsi has a back light which makes reading in bed at night so much easier.  My only issue with Kindles is that they are slippwery and smooth and so difficult to holdd. So I bought an Amazon leather cover which works much better, gives more traction."
Faye,5.0 out of 5 stars,Absolutely love,Reviewed in the United Kingdom on 5 May 2020,"I always said I would never go to electronic books but I've been converted.  I still love the smell of a book which will never change but I would not be without my kindle, it goes with me everywhere.  You can fit so many books on it, so if you are not feeling one, just try another.  You can fit it in your pocket so it can literally go with you wherever you go and if you get the chance to read there you are.  The battery life is amazing even with the light on.  I could not recommend high enough.  If you like reading, get yourself one."
Jon34,4.0 out of 5 stars,"A good, solid version of the kindle",Reviewed in the United Kingdom on 26 January 2020,"This was a replacement for my first kindle that stopped working after over 8 years. The loss of the keypad makes it shorter than its predecessor but the screen is the same size which is welcome. Changing to the touch screen took a bit of time to adjust to as to go forward a page or going back involves touching the right or left side of the screen but ,almost everything else I use has a touch screen so, now I have got used to it, it is consistent with other devices. The slight problem is that other devices have precise ""keys"" on the screen to touch so it takes time to get used to the new layout, e.g. to get to the main menu you touch the top of the screen.For the wifi there is a flight mode, identical to smart phones etc., but it is unclear whether this switches off the wifi which I previously used to save power.I get a bit fed up with the suggestions for further reading but I suppose you have to let Amazon to advertise so that they can make more money, but I very rarely respond to advertising as I normally search in order to fulfill a need.I appreciate the internal light but I don't make much use of it as it is very unusual for me to read my kindle when lighting is not availableThe waterproofing is basically shower proof, but this is welcome when you are sitting on a beach.Overall, this is an appropriate replacement for my previous kindle,"
James,5.0 out of 5 stars,"Excellent e-reader, attractive and feature-packed, but does lack library compatibility.",Reviewed in the United Kingdom on 1 December 2018,"The Paperwhite is attractive, easy-to-use and has plenty of customisation option and note-taking ability - I use highlights a lot! Features such as wordwise and Vocabulary builder and interesting and well-thought out. Everything on the Paperwhite is easy to use.I do wish it would work with library e-books - renting e-books from my local library is something I find a lot more affordable than buying EVERY book, and other e-readers are compatible with library services whereas the Kindle is not.Also, as a more minor feature it could perhaps have an alternative highlight option for easier note categorisation - as the Paperwhite is greyscale it couldn't be another colour, but how about an outline option, or a squiggly underline? This"
Jean L,5.0 out of 5 stars,This paperwhite is waterproof,Reviewed in the United Kingdom on 10 February 2020,"I have owned a kindle paperwhite for several years and decided to upgrade.  There are several new featured on my new paperwhite including returning a book straight to kindle unlimited as I remove it, and of course its waterproof so I can read by a pool without worrying.  it is also thinner & lighter, so overall i am very pleased with my new paperwhite."
Adam Ogle,5.0 out of 5 stars,Perfect travel companion for those who love to read,Reviewed in the United Kingdom on 26 January 2019,"I've been deliberating about buying a kindle for a while as I love reading but I like the feel of an actual book but travelling more often pushed my hand! This has been the perfect travel companion, it's ideal for journeys as it fits in my pocket and weighs virtually nothing. The backlight is great for reading in pitch black and no glare at all in sunlight! I read for at least an hour every day and haven't charged it for almost a month now, the battery life is honestly incredible.My only negatives are that the screen on it doesn't feel completely flush all the way around and the power button is a little wonky - both of these haven't been picked up by any of my friends or family when they look at the device though so could be because I'm a little obsessive about that sort of thing (which is why I've still rated a 5)"
27-zetec,3.0 out of 5 stars,Watch you do get conned.,Reviewed in the United Kingdom on 13 December 2018,"I dislike being conned,like I was by your telephone representatives, as they said our conversation was recorded so you a have recorded. I spoke with your representatives concerning a fault with my original kindle paperwhite. It would not charge nor could switch it on, i tried all the recommendations to get it working without any success. At first your representatives said they would replace it, but they said I would have to buy one and because as they stated I was a good customer they would give me a good discount if I bought a new one. After I bought one with the discount I found out that you were giving a better discount on new a advert to sell kindle paperwhites, you conned me with false information and am not happy about it."
Hoolio,4.0 out of 5 stars,exceeded expectations,Reviewed in the United Kingdom on 7 February 2019,I love this!I debated about an e-reader for years because I preferred real books but I'm so glad uve finally got one.it has allowed me to read and have access to a lot more books. what I love most is discovering small authors that are only on kindle.It has some great features.-light control let's me dim it down so I can read in bed withoutndisturbibg my partner-built in dictionary means I can easily and effortlessly look up words I don't understand-it's also great for reporting errors/typos etc in books you read-changing text size is super easy aswell- you can put a pin/password on it when locked to stop it from being as easily accessedconsalthough it's waterproof I find if I'm reading in the bath and the screen gets wet from condensation I can swipe easily when reading. this makes not having a button a real pain. getting a stylus helps but they are easily misplaced esp if you carry your book EVERYWHERE like meslow to load- the store is pretty slow to load. I tend to explore the store via an app on my phone and then sync my library upadverts- what I most hate about kindle and if anyone knows how to turn them off let me know . when the kindle goes into sleep mode adverts pop up. often it's books and I really dnt like that because anyone can see it and Its not always a good representation if what I'm reading.
Kindle Customer,1.0 out of 5 stars,Rubbish,Reviewed in the United Kingdom on 8 January 2021,Do not buy this kindle it is absolutely rubbish.  I have to charge it every 3 days and have to reboot it often. This is my second one of this model as the first one was even worse and Amozon replaced it with this one. I will struggle on with this one as to much trouble to send back due to covid. I only use to read on an evening so not sitting reading all day.
Paul Mc Carthy,5.0 out of 5 stars,Great Product,Reviewed in the United Kingdom on 5 May 2020,I have to give credit to Amazon about this product that I ordered and it was delivered very fast - My initial concern was the Kindle was a little too small for me - I need a larger screen. Amazon Kindly refunded my money and I am looking at the larger Kindle device - great service and confidence when buying
ISV,4.0 out of 5 stars,Quite Good,Reviewed in the United Kingdom on 13 January 2019,"There are a few additional features compared with the original basic model. Athough there are advantages in this, these features, the back light in particular, do affect the battery life. I have had to turn down the light to almost zero to conserve battery. I do miss the LIST of books which appeared on my old version. Now instead the picture of the front cover and the Collections options are proving difficult to manage. One great miss is to enable me to click to turn a page from BOTH sides of the display and the touch screen facility for this is hypersensitive as is other touch screen operations which result in inadvertently moving to screens which I did not request. I will get used to the model in time but I'm fairly happy at the moment."
Phil D,3.0 out of 5 stars,All good except...ads and screensaver,Reviewed in the United Kingdom on 7 September 2020,"I love the screen and accessing all my books, I don't regret purchasing it and the niggles I have just need an update from amazon.Given amazon tracks all my purchases both on kindle, my book purchases and audible, you'd have thought the ads would be appropriate (see pics) - I read theology, apologetics, non-fiction on race, class and culture and some action, thriller - the ads definitely don't connect. And there are ads everywhere except when I'm in a book.The other annoyance is that I've seen older kindles with tidy screensavers of book covers on the kindle or at the very least being able to choose some select images. This wouldn't take much from the amazon team to sort.Finally as I can't share from Good reads to twitter from a kindle, remove the image and tickbox that teases every time I click share!"
R. Markham,5.0 out of 5 stars,Good purchase,Reviewed in the United Kingdom on 30 September 2019,"Somewhat hesitant about getting a Kindle as I have been happy reading ebooks on my iPad. However I finally relented and bought the Paperwhite to take on holiday to cut down hard book space/weight. What a good decision that was! Using the Kindle on the beach was so much better than wrestling with a book, trying to keep it dry, pages falling out, book getting wet etc. It is well constructed, very light, waterproof, compact and really easy to hold or prop up at any angle for easy reading positions on the beach. I have installed the Kindle App on my iPhone and iPad as the Kindle syncs with both of them (as well as iMac at home) so I have the best of all worlds. The front light facility is really useful in poorly lit environments. I purchased it over two weeks ago and whilst I have used it regularly every day it still has 30% charge left. To protect the Kindle, an outer cover is a worthwhile purchase. I have no regrets about purchasing the Kindle Paperwhite and am very pleased with the purchase."
Irene,3.0 out of 5 stars,not happy,Reviewed in the United Kingdom on 16 May 2019,"I have had various kindle paperwhites over the years and can only say that with each new version the performance suffers , since they keep updating (every few weeks its seems) I have problems, since the last update with the filter I can no longer download a book without having to restart the darn thing, and that's even when fully charged. I still say that in my opinion the best kindle was the old keyboard version that was very reliable, why you have to keep doing software updates is beyond me as is putting on goodreads that is something I never use all I want is an ereader that works but unfortunately this new version is not it"
Ms. K. M. Borg,5.0 out of 5 stars,Just as described,Reviewed in the United Kingdom on 8 February 2019,"This is my second Kindle.  The first one is 8 years old, so this is bright, light and smaller than my other one.  It took a bit of registering due to a misunderstanding about Goodreads.  However, I called the help desk at Amazon, they are brilliant and helped me sort the problem out.  I am not sure all my books have downloaded, I had 195, but I will have to check that.  The kindle itself is easy to use, light to hold and I absolutely love it.  It is much brighter than my previous one too."
Wee Nell,4.0 out of 5 stars,Beware of misleading “Special Offers”,Reviewed in the United Kingdom on 6 January 2020,"This Kindle was purchased as a Xmas gift and only after reading another reviews post-purchase did I discover what ”With/Without special offers” actually means.  It means advertising. I can find nothing on the product description that explains this. My assumption was that the additional available for purchase (case, charging unit) were special offers. As I did not want to give a gift with Annoying adverts, I called customer services and they said they could remove the “special offers” without having to return the device but I would have to pay for this. I paid the £10 requested and if you don’t want adverts on your device, make sure you select “withou special offers”!"
Chris Naish,3.0 out of 5 stars,OK but not my favorite purchase,Reviewed in the United Kingdom on 19 May 2020,"I guess I still like the feel of a book.  I can see that when I travel the Kindle will have its advantages.  The screen is good in a wide range of lighting conditions and the device feels itself good in the hand although I'd prefer it a little taller and narrower (more paperback book format).  The device seems to have a slow response to me based on early experience.  Personally, if you aren't going to travel much certainly do not get a case - I would agree with many of the bad reviews of the standard 'leather' (is it really - not any leather I've had before) case - I've taken my case off the device - when its on it make the device too heavy and it has quite hard edges - it doesn't feel good in the hand.  Whatever its made of it shouts plastic!  The charger is OK and the device seems to hold a charge for a suitably long time.  I have been using the kindle app on the phone and I'm not convinced this is a significant advantage (I miss seeing the covers etc in colour when selecting books).  I may update this as I grow into it."
Beckside Girl,5.0 out of 5 stars,I like this Kindle,Reviewed in the United Kingdom on 8 August 2019,This Kindle replaced one that I have had for many years - I like the size of it and the screen and operation are very good.  The only thing I miss is being able to turn the pages on either side of the Kindle - this one can only be changed by touching the right hand side of th screen -  I lie on my right hand side in bed to read and find it awkward to use - I suppose it is after years of turning the pages by clicking with my left thumb!It was straightforward to set up and all my books transferred over without problems.  I bought it when it was on offer - I am not sure I would have bought it if not - there are quite a few e readers on offer.
Hants,5.0 out of 5 stars,Fantastic,Reviewed in the United Kingdom on 23 March 2019,"I bought this Kindle Paper White to replace my last Kindle which I loved. I thought my last Kindle was perfect until I got this one; it really is brilliant. It does exactly what it says it does and I love reading from it. I have set it up exactly as I want it, which makes reading easy and a pleasure.My old Kindle was slightly bigger so I had to add some packing to the case (see the photo) which works just as well - it shuts off and wakes up when the lid is opened and shut. The whole thing is very portable and easily fits in a pocket, not like my iPad.The back lighting makes this Kindle even better.I have not tested the waterproof angle as I don't read in the bath - I prefer a shower!"
MrsB,5.0 out of 5 stars,This is a beautiful thing.,Reviewed in the United Kingdom on 22 January 2020,This is my second Kindle Paperwhite. I had the previous one for a long time and loved it but unfortunately I dropped it in the bath! It survived but there were small signs that it may not have enjoyed the bath as much as I did. I was bought this waterproof Kindle Paperwhite as a gift in case the other one failed (and in case I dropped this one in the bath too). It is slightly smaller than the original and I would guess that it may be a little lighter. I love it too. Life without a Kindle Paperwhite would be very difficult.
Charlie D.,1.0 out of 5 stars,Early adopters usually get punished...,Reviewed in the United Kingdom on 12 December 2018,"I have an old kindle and decided to upgrade to the new paperwhite. Within three weeks of light use, the text is already fading away diagonally, a hardware error previously found in old paperwhites. Instead of offering me an exchange for a new unit, Amazon asked me to call kindle support or engage in a chat, despite having clearly explained the issue and all pointing to a hardware problem. Last time I had an issue and tried the chat, I spent literally an hour and urgung the person at the otger side to please read what I was writting. Very dissapointed with the quality, as there is a more natural reading feel in the old paperwhite. I have now requested a refund and will buy once there is a review of the hardware, and in a different store such as John Lewis, who offer better support. Early adopters usually get punished..."
